Model,Patch Layer,Horizon,Horizon Sort,Mean KL (bits),Std KL (bits),Num Batches,Tokens Cached
GPT-2 Small,6,0,0,0.6265277900393047,0.04479924567882427,63,32256
GPT-2 Small,6,1,1,0.6359356547158862,0.050650380511223225,63,32256
GPT-2 Small,6,2,2,0.6160546077622308,0.05179707941526905,63,32256
GPT-2 Small,6,4,4,0.6466046391971527,0.058094207316224646,63,32256
GPT-2 Small,6,full,999,0.2519029447483638,0.029188483055240324,63,32256
Gemma-2B,12,0,0,1.0055530307784912,0.10898918714593732,63,32256
Gemma-2B,12,1,1,1.41698880422683,0.16789589604034402,63,32256
Gemma-2B,12,2,2,1.3813649151060317,0.23794168658556367,63,32256
Gemma-2B,12,4,4,0.5846975691734798,0.17526625944582866,63,32256
Gemma-2B,12,full,999,0.5721725944488768,0.1344136022224456,63,32256
Llama-3.1-8B,4,0,0,1.2797502241437397,0.04700622428528819,63,32256
Llama-3.1-8B,4,1,1,4.991755364433168,0.06852299876563482,63,32256
Llama-3.1-8B,4,2,2,5.412035064091758,0.11041363020846559,63,32256
Llama-3.1-8B,4,4,4,5.665732535104903,0.1066257737541077,63,32256
Llama-3.1-8B,4,8,8,5.575620719364712,0.11465286523930109,63,32256
Llama-3.1-8B,4,full,999,12.016233156597803,0.34312777880283557,63,32256
Llama-3.1-8B,8,0,0,1.4689354764090643,0.04585855843908339,63,32256
Llama-3.1-8B,8,1,1,4.178789373428103,0.07621059048695626,63,32256
Llama-3.1-8B,8,2,2,4.377357649424719,0.06790968807235218,63,32256
Llama-3.1-8B,8,4,4,4.644816572704013,0.08640660919135046,63,32256
Llama-3.1-8B,8,8,8,5.476088470882839,0.10210437521195552,63,32256
Llama-3.1-8B,8,full,999,11.105635885208372,0.3713744228500432,63,32256
Llama-3.1-8B,12,0,0,1.4263640717854575,0.044410464776993425,63,32256
Llama-3.1-8B,12,1,1,3.076580936946566,0.07809861974345816,63,32256
Llama-3.1-8B,12,2,2,3.0966539193713474,0.0799168911776293,63,32256
Llama-3.1-8B,12,4,4,3.6414319825550865,0.09560389797798974,63,32256
Llama-3.1-8B,12,8,8,5.431736908261738,0.160898695555132,63,32256
Llama-3.1-8B,12,full,999,7.648083543020581,0.4903318764331649,63,32256
Llama-3.1-8B,16,0,0,1.1851139011837186,0.038426431870580695,63,32256
Llama-3.1-8B,16,1,1,3.04418136581542,0.07501385928049933,63,32256
Llama-3.1-8B,16,2,2,5.199746018364316,0.16340367899345193,63,32256
Llama-3.1-8B,16,4,4,4.751603716895694,0.14092349514488267,63,32256
Llama-3.1-8B,16,8,8,6.953098675561329,0.21493333212295118,63,32256
Llama-3.1-8B,16,full,999,5.8593494854276145,0.5320175196242972,63,32256
Llama-3.1-8B,20,0,0,1.2437894949837336,0.07744847723094817,63,32256
Llama-3.1-8B,20,1,1,3.030301147037082,0.13598715598957334,63,32256
Llama-3.1-8B,20,2,2,4.665319586557056,0.16804708431653978,63,32256
Llama-3.1-8B,20,4,4,4.644812652042934,0.16948212715941835,63,32256
Llama-3.1-8B,20,8,8,4.866786911374047,0.3455428354627672,63,32256
Llama-3.1-8B,20,full,999,3.7907531904795815,0.5199474527887408,63,32256
Llama-3.1-8B,24,0,0,1.410399520207965,0.12421142079024176,63,32256
Llama-3.1-8B,24,1,1,1.818550978388105,0.17958251871149133,63,32256
Llama-3.1-8B,24,2,2,2.1261062489615545,0.21829374292311438,63,32256
Llama-3.1-8B,24,4,4,4.034163766437107,0.24593782572375994,63,32256
Llama-3.1-8B,24,full,999,2.917520038665287,0.4023407914468149,63,32256
Llama-3.1-8B,28,0,0,1.873393215830364,0.1526239519881536,63,32256
Llama-3.1-8B,28,1,1,2.4376586770254467,0.21643789242579742,63,32256
Llama-3.1-8B,28,2,2,2.608312792248196,0.25714058985986293,63,32256
Llama-3.1-8B,28,full,999,3.0291391100202287,0.2799518516791536,63,32256
Llama-3.1-8B,30,0,0,1.8123075583624462,0.12973173352201525,63,32256
Llama-3.1-8B,30,1,1,1.1023168166478474,0.10827082366582098,63,32256
Llama-3.1-8B,30,full,999,1.1023168166478474,0.10827082366582098,63,32256
