Model,Layer,Dataset,N,Acc_M,Acc_SoM,Acc_hG,Drop_SoM,Drop_hG,P
GPT-2 Small,6,winogrande,1000,0.51,0.517,0.517,-0.007,-0.007,24510
GPT-2 Small,6,piqa,1000,0.614,0.605,0.604,0.009,0.01,24510
GPT-2 Small,6,hellaswag,1000,0.343,0.333,0.333,0.01,0.01,24510
Gemma-2B,12,winogrande,1000,0.619,0.555,0.555,0.064,0.064,16078
Gemma-2B,12,piqa,1000,0.776,0.71,0.71,0.066,0.066,16078
Gemma-2B,12,hellaswag,1000,0.547,0.455,0.455,0.092,0.092,16078
Llama-3.1-8B,4,winogrande,1000,0.705,0.503,0.503,0.202,0.202,72752
Llama-3.1-8B,4,piqa,1000,0.804,0.487,0.487,0.317,0.317,72752
Llama-3.1-8B,4,hellaswag,1000,0.634,0.273,0.273,0.361,0.361,72752
Llama-3.1-8B,8,winogrande,1000,0.705,0.509,0.509,0.196,0.196,84117
Llama-3.1-8B,8,piqa,1000,0.804,0.488,0.486,0.316,0.318,84117
Llama-3.1-8B,8,hellaswag,1000,0.634,0.25,0.252,0.384,0.382,84117
Llama-3.1-8B,12,winogrande,1000,0.705,0.525,0.526,0.18,0.179,88634
Llama-3.1-8B,12,piqa,1000,0.804,0.504,0.502,0.3,0.302,88634
Llama-3.1-8B,12,hellaswag,1000,0.634,0.306,0.306,0.328,0.328,88634
Llama-3.1-8B,16,winogrande,1000,0.705,0.561,0.561,0.144,0.144,88636
Llama-3.1-8B,16,piqa,1000,0.804,0.592,0.597,0.212,0.207,88636
Llama-3.1-8B,16,hellaswag,1000,0.634,0.402,0.403,0.232,0.231,88636
Llama-3.1-8B,20,winogrande,1000,0.705,0.56,0.56,0.145,0.145,109646
Llama-3.1-8B,20,piqa,1000,0.804,0.635,0.635,0.169,0.169,109646
Llama-3.1-8B,20,hellaswag,1000,0.634,0.441,0.441,0.193,0.193,109646
Llama-3.1-8B,24,winogrande,1000,0.705,0.646,0.646,0.059,0.059,119707
Llama-3.1-8B,24,piqa,1000,0.804,0.736,0.736,0.068,0.068,119707
Llama-3.1-8B,24,hellaswag,1000,0.634,0.541,0.541,0.093,0.093,119707
Llama-3.1-8B,28,winogrande,1000,0.705,0.592,0.592,0.113,0.113,126350
Llama-3.1-8B,28,piqa,1000,0.804,0.761,0.762,0.043,0.042,126350
Llama-3.1-8B,28,hellaswag,1000,0.634,0.562,0.562,0.072,0.072,126350
Llama-3.1-8B,30,winogrande,1000,0.705,0.619,0.619,0.086,0.086,130700
Llama-3.1-8B,30,piqa,1000,0.804,0.762,0.762,0.042,0.042,130700
Llama-3.1-8B,30,hellaswag,1000,0.634,0.582,0.582,0.052,0.052,130700
